label,class,BSI_month1,BSI_month2,BSI_month3,BSI_trend,BSI_consistency,BSI_variance,NDVI_trend,NDBI_month1,NDBI_month2,NDBI_month3,NDBI_trend,MNDWI_min,VV_month1,VV_month2,VV_month3,VV_trend,VV_consistency,VH_VV_ratio_change,VV_VH_diff_month1,VV_VH_diff_month3,VV_VH_diff_trend
1,construction,0.15549324496558756,0.15842819273351005,0.16117092866756394,0.005677683701976383,0.15549324496558756,9.610591693431925e-05,-0.012207780964672565,0.10182339698076248,0.10704771429300308,0.12119594216346741,0.019372545182704926,-0.32052579522132874,-2.1669464279934756,-0.8936595669186581,-2.970230107820551,-0.8032836798270755,-0.8936595669186581,-0.3177382462658107,8.066871967848563,10.113493188788686,2.046621220940123
1,construction,0.08787255909558069,0.09689293060517484,0.0980690780527604,0.010196518957179712,0.08787255909558069,0.003922112031004302,-0.016398470848798752,0.025564175099134445,0.022850925102829933,0.012828677892684937,-0.012735497206449509,-0.21608039736747742,-4.67204951566964,-2.349024812348795,-8.043129963194646,-3.3710804475250065,-2.349024812348795,-1.2179559324776579,8.052479619237394,4.066504868986829,-3.9859747502505645
1,construction,0.08227222512936799,0.06081885265412997,0.07784431137724551,-0.004427913752122481,0.06081885265412997,-0.01923941559917678,0.013951323926448822,0.01783313974738121,-0.003868828294798732,0.004165509715676308,-0.013667630031704903,-0.2946246862411499,-5.465476089719276,-6.933946380906565,-7.279549375497344,-1.8140732857780675,-5.465476089719276,-0.4649690183330646,7.942566638901473,7.194058411856779,-0.7485082270446943
1,construction,0.07445524877564057,0.03768808887638869,0.06163462299232534,-0.012820625783315227,0.03768808887638869,-0.030356847007594265,-0.02106127329170704,0.003854283131659031,-0.05163043364882469,-0.017712481319904327,-0.021566763520240784,-0.14299409091472626,-9.811910843821078,-9.783080313272805,-8.949357476802584,0.8625533670184939,-8.949357476802584,0.24567719456955817,3.551960156002968,5.43836461777231,1.8864044617693416
1,construction,0.032607147942474726,0.042130043022972644,0.1012417293573824,0.06863458141490768,0.032607147942474726,-0.024794395626955915,0.038609836250543594,-0.021232735365629196,-0.012518662959337234,0.061436548829078674,0.08266928791999817,-0.3895595967769623,-6.9638555216618645,-4.4933551190254954,-10.743589515030873,-3.7797339933690086,-4.4933551190254954,-0.4289003240094367,7.387613779795521,6.789419714593702,-0.5981940652018185
1,construction,0.12154465898041394,0.1070154577883472,0.12048404068747808,-0.0010606182929358693,0.1070154577883472,-0.013998892045598815,0.026304535567760468,0.08176914602518082,0.06685499101877213,0.09184668958187103,0.010077541694045067,-0.34243640303611755,-5.408102976011142,-4.3656644423394,-9.29253465006288,-3.884431674051738,-4.3656644423394,-1.2129917766026668,7.439032720589127,1.5104347441772834,-5.928597976411844
1,construction,0.02754644458680333,-0.024251069900142655,0.02512036843207034,-0.002426076154732993,-0.024251069900142655,-0.05058447640957949,0.05398081988096237,-0.03980344161391258,-0.1202513575553894,-0.07035175710916519,-0.030548319220542908,-0.20836055278778076,-7.811274174801875,-3.427195335114066,-2.412348789624547,5.3989253851773285,-2.412348789624547,3.3097628879431924,9.804301860596004,11.012156236953496,1.207854376357492
1,construction,0.026220362622036263,0.05890318212593094,0.06574268259323425,0.03952231997119798,0.026220362622036263,0.01292165951829568,-0.0359407439827919,-0.07386363297700882,-0.06885947287082672,-0.03068450093269348,0.04317913576960564,-0.1403183937072754,0.3115516938717321,-2.674002879952987,0.11945720405101568,-0.19209448982071642,0.3115516938717321,-55.88288272738529,11.577213962308662,11.114624613325322,-0.4625893489833395
1,construction,0.13180964308077645,0.08784692021823358,0.10159033631702442,-0.03021930676375202,0.08784692021823358,-0.028853069480666863,0.01039676833897829,0.06180904433131218,0.004392764996737242,0.023188823834061623,-0.038620222359895706,-0.31038761138916016,-2.686392740818679,-2.8719134594260236,-6.040960544426102,-3.3545678036074227,-2.686392740818679,-2.5592834480959636,8.718384404990172,4.144725221872595,-4.573659183117576
1,construction,0.09017620638028331,0.07845072159861848,0.06345161891740725,-0.026724587462876065,0.06345161891740725,0.0016368089497731941,0.018526114523410797,0.0526934377849102,0.020107794553041458,0.002524975221604109,-0.050168462097644806,-0.20568418502807617,-6.02630277563604,-0.10785967744747411,-3.704770592102245,2.321532183533795,-0.10785967744747411,2.1325704685401803,5.766363293904895,11.445652798283394,5.679289504378499
